ACTION 0,ACTION 1,ACTION 2,ACTION 3,ACTION 4,ACTION 5,ACTION 6,ACTION 7,ACTION 8
0,0,0,0,0,0,0,0,0
0.000950827,-0.000340457,-0.000575257,-0.000828626,-0.0003339,0.000976159,0.001800913,-0.000577792,0.518572401
0.007932034,-0.000439212,-0.0010492,-0.001193996,-0.000255792,0.004513672,0.008832824,-0.000829619,0.880583385
0.013270659,-0.000201578,-0.001295515,-0.001205588,0.000511829,0.011444926,0.016265722,-0.000960014,1.114114214
0.02406144,0.00020387,-0.001357913,-0.000827399,0.004565463,0.017836912,0.02362741,-0.00091696,1.254003752
0.032331391,0.000691372,-0.001384382,-0.000164346,0.007833183,0.023742318,0.02709616,-0.000531802,1.344586916
0.036104244,0.00142671,-0.001234601,0.000958163,0.011853162,0.03372854,0.034662482,-7.42E-05,1.404431481
0.039985221,0.002924424,-0.000808222,0.0018764,0.021991907,0.043977127,0.041103578,0.000246997,1.440996173
0.04916259,0.004462216,-0.00049864,0.003444929,0.03737041,0.050497847,0.052903999,0.001010501,1.464435458
0.057065797,0.006426768,0.000344398,0.006350658,0.049438987,0.062337198,0.059484184,0.001901433,1.477643503
0.064984669,0.007511862,0.0013847,0.008199787,0.060747815,0.079366877,0.072618624,0.003344243,1.485705236
0.078146466,0.01056939,0.002294821,0.012678617,0.072234037,0.092389886,0.087000852,0.005003224,1.491156761
0.087312346,0.012397837,0.003016696,0.014213624,0.087300396,0.106607463,0.098692825,0.006450845,1.494562007
0.096432212,0.01523397,0.004213124,0.01505474,0.095495951,0.119425047,0.11286913,0.007796102,1.496605439
0.109367929,0.016741071,0.005094778,0.019554683,0.101372298,0.129600194,0.120548743,0.009271759,1.497861845
0.119631508,0.019312234,0.00627019,0.021480306,0.104900731,0.137184362,0.124373486,0.010854833,1.498643761
0.127278493,0.022035374,0.008041439,0.022486728,0.116648741,0.148481438,0.140824285,0.014622659,1.499145737
0.137407517,0.02418016,0.010844577,0.025644698,0.123666199,0.158441105,0.15209236,0.017601521,1.499462457
0.146205714,0.026787721,0.011763946,0.028400932,0.126000913,0.168323514,0.16942313,0.020776234,1.49965801
0.15618696,0.02992057,0.013341314,0.034152096,0.132988962,0.176907078,0.17433102,0.024999836,1.499782422
0.161148029,0.034767227,0.016011659,0.040786706,0.139941054,0.18543145,0.18043878,0.026763509,1.499864317
0.168552933,0.037689926,0.019157434,0.046404791,0.150296923,0.187856151,0.192563661,0.029995311,1.499914878
0.172238884,0.038565388,0.02206719,0.04962389,0.158292292,0.20110609,0.200979491,0.03338585,1.499946491
0.184446041,0.039906928,0.025092566,0.054953701,0.16623447,0.209462439,0.209336724,0.037390141,1.499966598
0.19050406,0.044090832,0.029051465,0.059060672,0.170749086,0.220120816,0.217635745,0.039992247,1.499978664
0.194124377,0.048872724,0.031109387,0.063958231,0.178607364,0.228344649,0.227049533,0.046998975,1.499986721
0.207306346,0.050853072,0.032819183,0.067517616,0.196365838,0.236511127,0.234060628,0.050331704,1.499991777
0.219164752,0.053881968,0.036775613,0.07914626,0.209500331,0.248078797,0.243343552,0.05546077,1.499994933
0.228566448,0.055418881,0.039066224,0.082108297,0.218169899,0.257249985,0.254843235,0.063710034,1.499996844
0.233239158,0.060694407,0.042334954,0.08968606,0.227840945,0.265214792,0.265095047,0.067973804,1.499998043
0.244839453,0.063938793,0.045199847,0.099653981,0.238485104,0.274249392,0.275254971,0.072362834,1.499998777
0.255180954,0.066150246,0.051110786,0.102777096,0.252164468,0.282095569,0.288660013,0.080689714,1.499999241
0.262023738,0.07066013,0.053145182,0.106733318,0.260494625,0.297624035,0.309558249,0.083941127,1.499999524
0.269955243,0.075296944,0.058374735,0.113971292,0.260494625,0.304212798,0.313907486,0.089241772,1.499999701
0.278952063,0.080013938,0.058920798,0.123706052,0.266698685,0.314022078,0.322553916,0.09666696,1.499999816
0.288987783,0.083588255,0.063941193,0.127807097,0.269786784,0.321590686,0.33006298,0.09873673,1.499999887
0.292312992,0.09150928,0.066787777,0.135233295,0.274913076,0.330175867,0.338580619,0.105033515,1.499999928
0.301131576,0.097705287,0.070260804,0.139405963,0.282046947,0.338692606,0.347030356,0.111414928,1.499999955
0.309879859,0.100231239,0.072015649,0.143618404,0.288122058,0.350292372,0.352277199,0.117161653,1.499999972
0.325021871,0.106035566,0.074402365,0.147853997,0.302156305,0.361765177,0.362692472,0.122221765,1.499999983
0.330378538,0.111253865,0.079262851,0.152991371,0.309100057,0.366938494,0.364763052,0.130287104,1.499999989
0.337832994,0.115856187,0.085442367,0.161626106,0.31599535,0.376185498,0.374029556,0.137692572,1.499999993
0.345235427,0.120533994,0.087338177,0.167690223,0.326733715,0.381286857,0.381179371,0.145165065,1.499999996
0.353632111,0.124623803,0.09434787,0.171172149,0.331575859,0.388386023,0.387268056,0.154249838,1.499999997
0.36092428,0.133579666,0.098873917,0.176431276,0.341187781,0.396438709,0.392314113,0.161856245,1.499999998
0.37433213,0.139154775,0.102149688,0.183453093,0.34975667,0.406414349,0.401333648,0.167983735,1.499999999
0.381479833,0.146218006,0.108094597,0.190503784,0.35448393,0.410376743,0.408292907,0.174909611,1.499999999
0.395625936,0.151201429,0.109422463,0.196704839,0.360125515,0.418254117,0.415203597,0.178005396,1.5
0.40858536,0.157625298,0.115487141,0.201149023,0.364801034,0.431888712,0.426938472,0.183461757,1.5
0.417459038,0.164130659,0.122970069,0.205614111,0.369453223,0.438634726,0.432753287,0.190513727,1.5
